ENTITYA	IDA	ENTITYB	IDB	SCORE
NOXA1	Q8CJ00	Nox3	Q672J9	0.505
NOXA1	Q8CJ00	Nox1	Q8CIZ9	0.661
RIMS1	Q99NE5	Unc13b	Q9Z1N9	0.719
RIMS1	Q99NE5	Rab3a	P63011	0.733
RIMS1	Q99NE5	Cacna1d	Q99246	0.25
RIMS1	Q99NE5	Rab3c	P62823	0.305
Nlrx1	Q3TL44	RELA	Q04207	0.149
Nlrx1	Q3TL44	Pcbp2	Q61990	0.266
Nlrx1	Q3TL44	MAVS	Q8VCF0	0.675
Nlrx1	Q3TL44	TRAF6	P70196	0.399
TICAM2	Q8BJQ4	TICAM1	Q80UF7	0.536
DTX1	Q61010	ERBB2	P70424	0.1
Nlrx1	Q3TL44	NfKb-p65/p50	SIGNOR-C13	0.164
Cadps2	Q8BYR5	SNAP25	P60879	0.156
Cadps2	Q8BYR5	Vamp2	P63044	0.169
Cadps2	Q8BYR5	STX1A	O35526	0.279
Fermt3	Q8K1B8	ITGB3	O54890	0.593
Fermt3	Q8K1B8	ITGB1	P09055	0.276
Fermt3	Q8K1B8	Fblim1	Q71FD7	0.34
Casz1	Q9CWL2	Egfl7	Q9QXT5	0.288
ADIPOR2	Q8BQS5	APPL1	Q8K3H0	0.672
PIM3	P58750	BAD	Q61337	0.291
PIM3	P58750	BAD	Q61337	0.291
PIM3	P58750	BAD	Q61337	0.291
CD163	Q2VLH6	hb:hp	SIGNOR-C149	0.668
Nwc	Q9CQI4	Btf3	Q64152	0.1
TAX1BP1	Q3UKC1	TNFAIP3	Q60769	0.628
HOOK3	Q8BUK6	MSR1	P30204	0.297
DTX1	Q61010	TCF3	P15806	0.162
HOOK3	Q8BUK6	MARCO	Q60754	0.1
ARHGEF25	Q9CWR0	CDC42	P60766	0.615
ARHGEF25	Q9CWR0	RHOA	Q9QUI0	0.838
ARHGEF25	Q9CWR0	RHOA	Q9QUI0	0.838
ARHGEF25	Q9CWR0	RAC1	P63001	0.576
JAZF1	Q80ZQ5	NR2C2	P49117	0.381
Lonp2	Q9DBN5	Tysnd1	Q9DBA6	0.57
Tmem173	Q3TBT3	TBK1	Q9WUN2	0.1
CARM1	Q9WVG6	PAX7	P47239	0.284
CARM1	Q9WVG6	PAX7	P47239	0.284
CARM1	Q9WVG6	RUNX1	Q03347	0.168
CARM1	Q9WVG6	MEF2A	Q60929	0.303
CARM1	Q9WVG6	SMARCC1	P97496	0.444
CARM1	Q9WVG6	MAPK12/CARM1	SIGNOR-C218	0.276
Ncapg2	Q6DFV1	Condensin II	SIGNOR-C342	0.817
FBXO11	Q7TPD1	TP53	P02340	0.602
FBXO11	Q7TPD1	TP53	P02340	0.602
FBXO11	Q7TPD1	BCL6	P41183	0.423
FBXO11	Q7TPD1	DTL	Q3TLR7	0.448
DTX1	Q61010	NOTCH1	Q01705	0.724
DTX1	Q61010	ASCL1	Q02067	0.152
DTX1	Q61010	EP300	B2RWS6	0.32
DTX1	Q61010	NOTCH	SIGNOR-PF30	0.724
VRK2	Q8BN21	BANF1	O54962	0.406
VRK2	Q8BN21	BANF1	O54962	0.406
VRK2	Q8BN21	BANF1	O54962	0.406
VRK2	Q8BN21	BANF1	O54962	0.406
VRK2	Q8BN21	NFATC2	Q60591	0.31
Ndufa11	Q9D8B4	Mitochondrial respiratory chain complex I	SIGNOR-C277	0.809
Kmt5c	Q6Q783	HIST1H4A	P62806	0.1
Ero1b	Q8R2E9	Erp44	Q9D1Q6	0.1
PALB2	Q3U0P1	BRCA1	P48754	0.813
PALB2	Q3U0P1	BRCA2	P97929	0.926
PALB2	Q3U0P1	RAD51	Q08297	0.675
PALB2	Q3U0P1	POLH	Q9JJN0	0.484
Homer1	Q9Z2Y3	Shank1	D3YZU1	0.681
Gatad2a	Q8CHY6	MBD2/NuRD complex	SIGNOR-C337	0.841
Gatad2a	Q8CHY6	MBD3/NuRD complex	SIGNOR-C338	0.84
MIB1	Q80SY4	DLL1	Q61483	0.727
MIB1	Q80SY4	RYK	Q01887	0.26
MIB1	Q80SY4	JAG1	Q9QXX0	0.653
MIB1	Q80SY4	JAG1	Q9QXX0	0.653
MIB1	Q80SY4	Smn1	P97801	0.272
MIB1	Q80SY4	DLL4	Q9JI71	0.502
MIB1	Q80SY4	DLL3	O88516	0.273
Hps6	Q8BLY7	BLOC-2	SIGNOR-C252	0.701
Hipk1	O88904	DAXX	O35613	0.528
IFNL3	Q8CGK6	IL10RB	Q61190	0.49
IFNL2	Q4VK74	IL10RB	Q61190	0.49
IFNL3	Q8CGK6	IFNLR1	Q8CGK5	0.864
IFNL2	Q4VK74	IFNLR1	Q8CGK5	0.864
IFNLR1	Q8CGK5	JAK1	P52332	0.786
IFNLR1	Q8CGK5	TYK2	Q9R117	0.444
IRF2BP1	Q8R3Y8	IRF2	P23906	0.66
TICAM1	Q80UF7	RIPK1	Q60855	0.675
TICAM1	Q80UF7	TBK1	Q9WUN2	0.81
ERC1	Q99MI1	CHUK	Q60680	0.527
ERC1	Q99MI1	IKK-complex	SIGNOR-C14	0.552
Rnf135	Q9CWS1	DDX58	Q6Q899	0.686
Rnf135	Q9CWS1	DDX58	Q6Q899	0.686
SIAH1A	P61092	NOTCH1	Q01705	0.15
SIAH1A	P61092	NUMB	Q9QZS3	0.335
SIAH1A	P61092	SNCAIP	Q99ME3	0.623
SIAH1A	P61092	NOTCH	SIGNOR-PF30	0.15
Crebrf	Q8CDG5	HERPUD1	Q9JJK5	0.1
Pld3	O35405	APP	P12023	0.244
Vrk3	Q8K3G5	BANF1	O54962	0.397
Tiam2	Q6ZPF3	RAC1	P63001	0.521
MAP4K3	Q99JP0	PRKCQ	Q02111	0.337
MAP4K3	Q99JP0	MAP3K1	P53349	0.356
MAP4K3	Q99JP0	MAP4K3	Q99JP0	0.1
KSR1	Q61097	RAF1	Q99N57	0.631
MAPKAPK5	O54992	EEF2K	O08796	0.24
MAPKAPK5	O54992	Kalrn	A2CG49	0.299
MAPKAPK5	O54992	TP53	P02340	0.685
MAPKAPK5	O54992	TP53	P02340	0.685
MAPKAPK5	O54992	TH	P24529	0.1
MAPKAPK5	O54992	DNAJB1	Q9QYJ3	0.363
ULK2	Q9QY01	Dennd3	A2RT67	0.1
MAPKAPK5	O54992	DNAJB1	Q9QYJ3	0.363
MAPKAPK5	O54992	DNAJB1	Q9QYJ3	0.363
MAPKAPK5	O54992	MAPK4	Q6P5G0	0.612
MAPKAPK5	O54992	PLA2G4A	P47713	0.281
Arhgef19	Q8BWA8	RHOA	Q9QUI0	0.587
Gcc2	Q8CHG3	IGF2R	Q07113	0.418
Gcc2	Q8CHG3	M6pr	P24668	0.421
Trim59	Q922Y2	IRF3	P70671	0.162
Trim59	Q922Y2	IRF7	P70434	0.161
Trim59	Q922Y2	Ecsit	Q9QZH6	0.434
PHF6	Q9D4J7	UBTF	P25976	0.182
LMTK2	Q3TYD6	PPP1CA	P62137	0.477
ULK2	Q9QY01	ATG13	Q91YI1	0.662
UBR1	O70481	RECQL4	Q75NR7	0.412
UBR2	Q6WKZ8	RECQL4	Q75NR7	0.444
Arhgap12	Q8C0D4	RAC1	P63001	0.467
Bbs7	Q8K2G4	BBsome complex	SIGNOR-C288	0.806
WWC1	Q5SXA9	STK4	Q9JI11	0.336
WWC1	Q5SXA9	STK3	Q9JI10	0.274
WWC1	Q5SXA9	LATS1/2	SIGNOR-PF43	0.731
Zfpm1	O35615	GATA2	O09100	0.68
Ska3	Q8C263	SKA complex	SIGNOR-C364	0.916
TP53INP2	Q8CFU8	GABARAPL2	P60521	0.55
TP53INP2	Q8CFU8	MAP1LC3A	Q91VR7	0.36
SIRT2	Q8VDQ8	MYC	P01108	0.387
SIRT2	Q8VDQ8	Afp	P02772	0.147
SIRT2	Q8VDQ8	MYCN	P03966	0.26
SIRT2	Q8VDQ8	MYOD1	P10085	0.302
SIRT2	Q8VDQ8	Pgam2	O70250	0.1
SIRT2	Q8VDQ8	PGAM1	Q9DBJ1	0.166
SIRT2	Q8VDQ8	CDKN1A	P39689	0.191
SIRT2	Q8VDQ8	Nedd4	P46935	0.152
SIRT2	Q8VDQ8	KAT2B	Q9JHD1	0.45
SIRT2	Q8VDQ8	PGAM	SIGNOR-PF78	0.166
ASXL1	P59598	RARA	P11416	0.378
ASXL1	P59598	RARA	P11416	0.378
ASXL1	P59598	RXRA	P28700	0.225
ASXL1	P59598	HOXA9	P09631	0.364
ASXL1	P59598	PPARG	P37238	0.1
ASXL1	P59598	CDKN2B	P55271	0.163
ASXL1	P59598	NCOA1	P70365	0.169
ASXL1	P59598	PRC2	SIGNOR-C130	0.488
Phc2	Q9QWH1	PRC1	SIGNOR-C408	0.765
Fam20c	Q5MJS3	FGF23	Q9EPC2	0.511
Mrpl41	Q9CQN7	39S mitochondrial large ribosomal subunit	SIGNOR-C285	0.743
RPAP2	Q8VC34	POLR2A	P08775	0.694
RPAP2	Q8VC34	POLR2A	P08775	0.694
RPAP2	Q8VC34	POLR2A	P08775	0.694
RPAP2	Q8VC34	POLR2A	P08775	0.694
RPAP2	Q8VC34	POLR2A	P08775	0.694
RPAP2	Q8VC34	POLR2A	P08775	0.694
RPAP2	Q8VC34	POLR2A	P08775	0.694
RPAP2	Q8VC34	POLR2A	P08775	0.694
RPAP2	Q8VC34	POLR2A	P08775	0.694
RPAP2	Q8VC34	POLR2A	P08775	0.694
RPAP2	Q8VC34	POLR2A	P08775	0.694
RPAP2	Q8VC34	POLR2A	P08775	0.694
RPAP2	Q8VC34	POLR2A	P08775	0.694
RPAP2	Q8VC34	POLR2A	P08775	0.694
RPAP2	Q8VC34	POLR2A	P08775	0.694
RPAP2	Q8VC34	POLR2A	P08775	0.694
RPAP2	Q8VC34	POLR2A	P08775	0.694
RPAP2	Q8VC34	POLR2A	P08775	0.694
RPAP2	Q8VC34	POLR2A	P08775	0.694
RPAP2	Q8VC34	POLR2A	P08775	0.694
RPAP2	Q8VC34	POLR2A	P08775	0.694
RPAP2	Q8VC34	POLR2A	P08775	0.694
RPAP2	Q8VC34	POLR2A	P08775	0.694
RPAP2	Q8VC34	POLR2A	P08775	0.694
Smc5	Q8CG46	SMC5/6	SIGNOR-C374	0.9
SLX4	Q6P1D7	ERCC4	Q9QZD4	0.693
SLX4	Q6P1D7	ERCC4/ERCC1	SIGNOR-C50	0.781
FANCM	Q8BGE5	TOPBP1	Q6ZQF0	0.292
FANCM	Q8BGE5	FANCF	E9Q5Z5	0.935
FANCM	Q8BGE5	Fanconi anemia core complex	SIGNOR-C300	0.939
Colgalt2	Q6NVG7	COL1A1	P11087	0.372
Colgalt2	Q6NVG7	Wdr33	Q8K4P0	0.315
Colgalt2	Q6NVG7	Col4a1	P02463	0.387
Colgalt2	Q6NVG7	COL1A2	Q01149	0.311
SEPT12	Q9D451	SEPT6	Q9R1T4	0.1
ULK2	Q9QY01	Dennd3	A2RT67	0.1
ULK2	Q9QY01	AMPK	SIGNOR-C15	0.225
Hace1	Q3U0D9	RAC1	P63001	0.326
RNF168	Q80XJ2	H2AFX	P27661	0.1
Kmt2e	Q3UG20	RARA	P11416	0.211
Dock3	Q8CIQ7	RAC1	P63001	0.58
IFNL3	Q8CGK6	IL10RB	Q61190	0.839
IFNL2	Q4VK74	IL10RB	Q61190	0.839
IFNL3	Q8CGK6	IFNLR1	Q8CGK5	0.831
IFNL2	Q4VK74	IFNLR1	Q8CGK5	0.831
IFNL3	Q8CGK6	IL10RB	Q61190	0.612
IFNL2	Q4VK74	IL10RB	Q61190	0.612
IFNL3	Q8CGK6	IFNLR1	Q8CGK5	0.623
IFNL2	Q4VK74	IFNLR1	Q8CGK5	0.623
MAML2	F6U238	NOTCH1	Q01705	0.858
MAML2	F6U238	HES1	P35428	0.316
MAML2	F6U238	NOTCH	SIGNOR-PF30	0.878
PELP1	Q9DBD5	NR3C1	P06537	0.497
PELP1	Q9DBD5	Rix1 complex	SIGNOR-C373	0.812
CDK20	Q9JHU3	CDK2	P97377	0.358
CDK20	Q9JHU3	ICK	Q9JKV2	0.1
ABI1	Q8CBW3	ABL1	P00520	0.862
ABI1	Q8CBW3	CBL	P22682	0.314
ABI1	Q8CBW3	WRC complex	SIGNOR-C191	0.823
ABI1	Q8CBW3	WAVE complex	SIGNOR-C271	0.838
Wdfy3	Q6VNB8	DVL3	Q61062	0.142
Wdfy3	Q6VNB8	ATG5	Q99J83	0.525
MYOCD	Q8VIM5	KLF4	Q60793	0.335
MYOCD	Q8VIM5	SRF	Q9JM73	0.728
MYOCD	Q8VIM5	Actg2	P63268	0.337
Aspm	Q8CJ27	BRCA1	P48754	0.165
Sycp3	P70281	Synaptonemal_complex	SIGNOR-C351	0.518
Abca7	Q91V24	Apoa1	Q00623	0.37
Abca7	Q91V24	APP	P12023	0.271
Syce1	Q9D495	Synaptonemal_complex	SIGNOR-C351	0.553
Cenpl	Q3U3S3	CCAN complex	SIGNOR-C365	0.552
Hoxb13	P70321	TCF4	Q60722	0.1
Spg20	Q8R1X6	ITCH	Q8C863	0.1
Spg20	Q8R1X6	WWP1	Q8BZZ3	0.1
Ttc5	Q99LG4	EP300	B2RWS6	0.501
Ttc5	Q99LG4	Jmy	Q9QXM1	0.42
Atoh7	Q9Z2E5	POU4F2	Q63934	0.329
Tagap	B2RWW0	RHOA	Q9QUI0	0.351
Tagap	B2RWW0	RAC1	P63001	0.314
RPTOR	Q8K4Q0	mTORC1	SIGNOR-C3	0.818
Nup93	Q8BJ71	NPC	SIGNOR-C263	0.636
Dock4	P59764	RAC1	P63001	0.522
Arhgef28	P97433	RHOA	Q9QUI0	0.71
Ints1	Q6P4S8	Integrator complex	SIGNOR-C265	0.904
Syne4	Q8CII8	LINC complex	SIGNOR-C303	0.322
Unc80	Q8BLN6	SRC	P05480	0.226
Unc80	Q8BLN6	Nalcn	Q8BXR5	0.733
Unc80	Q8BLN6	Nalcn	Q8BXR5	0.733
Unc80	Q8BLN6	Unc79	Q0KK59	0.722
Armc10	Q9D0L7	TP53	P02340	0.1
PELI3	Q8BXR6	JUN	P05627	0.165
PELI3	Q8BXR6	ELK1	P41969	0.1
PELI3	Q8BXR6	IRAK1	Q62406	0.714
Stk40	Q7TNL3	CEBPB	P28033	0.193
Nlgn1	Q99K10	DLG4	Q62108	0.706
Nlgn1	Q99K10	NRXN1	Q9CS84	0.778
Nlgn1	Q99K10	NRXN3	Q6P9K9	0.763
PIAS4	Q9JM05	RPA2	Q62193	0.1
PIAS4	Q9JM05	RPA2	Q62193	0.1
PIAS4	Q9JM05	STAT1	P42225	0.48
PIAS4	Q9JM05	SMAD3	Q8BUN5	0.573
PIAS4	Q9JM05	TP53BP1	P70399	0.576
PIAS4	Q9JM05	SMAD4	P97471	0.512
PIAS4	Q9JM05	SMAD3/SMAD4	SIGNOR-C9	0.543
Bbs5	Q9CZQ9	BBsome complex	SIGNOR-C288	0.852
PPM1K	Q8BXN7	BCKDHA	P50136	0.795
MPP5	Q9JLB2	AMOT/MPP5/INADL/LIN7C	SIGNOR-C27	0.607
STAG2	O35638	RAD21	Q61550	0.966
STAG2	O35638	TNF	P06804	0.1
STAG2	O35638	CD69	P37217	0.1
RASGEF1C	Q9D300	NRAS	P08556	0.1
RASGEF1C	Q9D300	HRAS	Q61411	0.1
RASGEF1C	Q9D300	KRAS	P32883	0.1
SFRP1	Q8C4U3	WNT1	P04426	0.726
SFRP1	Q8C4U3	WNT1	P04426	0.726
SFRP1	Q8C4U3	WNT4	P22724	0.658
SFRP1	Q8C4U3	Wnt	SIGNOR-PF40	0.735
RYBP	Q8CCI5	ABL1	P00520	0.28
NIN	Q61043	JAK2	Q62120	0.136
MINK1	Q9JM52	KCNH2	O35219	0.182
MINK1	Q9JM52	Prickle1	Q3U5C7	0.192
Afap1l2	Q5DTU0	PIK3CA	P42337	0.1
TAB3	Q571K4	MAP3K7	Q62073	0.83
TAB3	Q571K4	JNK	SIGNOR-PF15	0.249
TAB3	Q571K4	p38	SIGNOR-PF16	0.363
Mrpl50	Q8VDT9	39S mitochondrial large ribosomal subunit	SIGNOR-C285	0.722
CAMKK1	Q8VBY2	AKT1	P31750	0.323
CAMKK1	Q8VBY2	CAMK1	Q91YS8	0.36
CAMKK1	Q8VBY2	CAMK4	P08414	0.576
CAMKK1	Q8VBY2	CAMK4	P08414	0.576
CAMKK1	Q8VBY2	CAMK4	P08414	0.576
CAMKK1	Q8VBY2	AKT	SIGNOR-PF24	0.323
RNF10	Q3UIW5	MEOX2	P32443	0.304
Ngef	Q8CHT1	RHOA	Q9QUI0	0.619
Msl3	Q9WVG9	MSL acetyltransferase	SIGNOR-C344	0.804
Cpsf7	Q8BTV2	CFI complex	SIGNOR-C388	0.801
Myct1	Q8R411	CCNE2	Q9Z238	0.1
Myct1	Q8R411	BCL2	P10417	0.1
Myct1	Q8R411	CCND1	P25322	0.1
Myct1	Q8R411	CCNE1	Q61457	0.1
Myct1	Q8R411	CCND2	P30280	0.1
Myct1	Q8R411	CASP3	P70677	0.1
Myct1	Q8R411	CASP9	Q8C3Q9	0.1
Myct1	Q8R411	BAX	Q07813	0.1
EID2	Q6X7S9	SMAD3	Q8BUN5	0.333
EID2	Q6X7S9	SMAD3/SMAD4	SIGNOR-C9	0.335
IL22RA1	Q80XZ4	JAK1	P52332	0.414
IL22RA1	Q80XZ4	STAT3	P42227	0.538
ARFGAP1	Q9EPJ9	Arf1	P84078	0.836
ARFGAP1	Q9EPJ9	LRRK2	Q5S006	0.502
SIRT6	P59941	TNF	P06804	0.195
SIRT6	P59941	TNF	P06804	0.195
Gpr161	B2RPY5	GNAS	Q6R0H7	0.278
Mrpl43	Q99N89	39S mitochondrial large ribosomal subunit	SIGNOR-C285	0.718
Jmy	Q9QXM1	ARP2/3	SIGNOR-C146	0.191
RASGEF1A	E9Q1N6	NRAS	P08556	0.299
Banp	Q8VBU8	KHDRBS1	Q60749	0.244
Terb1	Q8C0V1	TERF1	P70371	0.1
Il17rc	Q8K4C2	IL17R complex	SIGNOR-C260	0.452
Fancb	Q5XJY6	Fanconi anemia core complex	SIGNOR-C300	0.794
XXYLT1	Q3U4G3	NOTCH1	Q01705	0.21
XXYLT1	Q3U4G3	NOTCH	SIGNOR-PF30	0.21
Colgalt1	Q8K297	COL1A1	P11087	0.32
Colgalt1	Q8K297	Wdr33	Q8K4P0	0.315
Colgalt1	Q8K297	Col4a1	P02463	0.313
Colgalt1	Q8K297	COL1A2	Q01149	0.335
Colgalt1	Q8K297	ADIPOQ	Q60994	0.1
POGLUT1	Q8BYB9	NOTCH1	Q01705	0.512
POGLUT1	Q8BYB9	NOTCH2	O35516	0.486
POGLUT1	Q8BYB9	NOTCH	SIGNOR-PF30	0.512
Spc24	Q9D083	Ndc80 complex	SIGNOR-C361	0.936
Slc38a9	Q8BGD6	mTORC1	SIGNOR-C3	0.375
Necap1	Q9CR95	AP-2 complex	SIGNOR-C245	0.416
Tsc22d3	Q9Z2S7	NFKB2	Q9WTK5	0.275
KREMEN2	Q8K1S7	LRP6	O88572	0.559
CCNY	Q8BGU5	CDK14	O35495	0.78
BVES	Q9ES83	VAMP3	P63024	0.283
PIK3C3	Q6PF93	AKT1	P31750	0.318
PIK3C3	Q6PF93	AKT1	P31750	0.318
PIK3C3	Q6PF93	PTEN	O08586	0.592
PIK3C3	Q6PF93	BECN1	O88597	0.916
PIK3C3	Q6PF93	Vps34 Complex II	SIGNOR-C241	0.858
PIK3C3	Q6PF93	Vps34 Complex I	SIGNOR-C242	0.894
PIK3C3	Q6PF93	AKT	SIGNOR-PF24	0.318
PIK3C3	Q6PF93	AKT	SIGNOR-PF24	0.318
PDZD8	B9EJ80	MSN/PDZD8	SIGNOR-C61	0.198
LFNG	O09010	DLL1	Q61483	0.333
LFNG	O09010	NOTCH1	Q01705	0.705
LFNG	O09010	NOTCH1	Q01705	0.705
LFNG	O09010	NOTCH2	O35516	0.643
LFNG	O09010	NOTCH2	O35516	0.643
LFNG	O09010	DLL3	O88516	0.334
Myo3a	Q8K3H5	Myo3a	Q8K3H5	0.1
Myo3a	Q8K3H5	Myo3a	Q8K3H5	0.1
IL27	Q8K3I6	IL27RA	O70394	0.624
Kmt2c	Q8BRH4	CD274	Q9EP73	0.1
Fbxo22	Q78JE5	BACH1	P97302	0.221
Syne1	Q6ZWR6	LINC complex	SIGNOR-C303	0.476
Syne1	Q6ZWR6	MSH2/MSH6	SIGNOR-C60	0.143
NOXO1	Q8VCM2	NOXA1	Q8CJ00	0.695
ARID1B	E9Q4N7	SWI/SNF complex	SIGNOR-C92	0.775
Flcn	Q8QZS3	RRAGC	Q99K70	0.6
Flcn	Q8QZS3	RRAGD	Q7TT45	0.59
Nup43	P59235	NPC	SIGNOR-C263	0.618
Nup37	Q9CWU9	NPC	SIGNOR-C263	0.609
Nup35	Q8R4R6	NPC	SIGNOR-C263	0.519
Bbs1	Q3V3N7	BBsome complex	SIGNOR-C288	0.837
Nbea	Q9EPN1	NOTCH1	Q01705	0.2
Nbea	Q9EPN1	Dlg3	P70175	0.298
DNER	Q8JZM4	NOTCH1	Q01705	0.363
Tet1	Q3URK3	SLIT2	Q9R1B9	0.1
Tet1	Q3URK3	HOXA9	P09631	0.188
Tet1	Q3URK3	PTEN	O08586	0.244
Tet1	Q3URK3	Znf382	B2RXC5	0.1
TTL	P38585	TUBA4A	P68368	0.202
Nlgn2	Q69ZK9	DLG4	Q62108	0.689
Nlgn2	Q69ZK9	Magi2	Q9WVQ1	0.298
Nlgn2	Q69ZK9	NRXN1	Q9CS84	0.76
Nlgn2	Q69ZK9	NRXN3	Q6P9K9	0.76
Trim58	Q5NCC9	DDX58	Q6Q899	0.1
PJA1	O55176	SPTBN1	Q62261	0.339
PJA1	O55176	EZH2	Q61188	0.426
CASC5	Q66JQ7	BUB1	O08901	0.1
CASC5	Q66JQ7	BUB1B	Q9Z1S0	0.1
NEK11	Q8C0Q4	CDC25A	P48964	0.281
NEK11	Q8C0Q4	CDC25A	P48964	0.281
TTL	P38585	TUBA1B	P05213	0.391
TTL	P38585	TUBA3A	P05214	0.233
TTL	P38585	TUBA1A	P68369	0.452
TTL	P38585	TUBA1C	P68373	0.403
TTL	P38585	TUBA8	Q9JJZ2	0.222
TTL	P38585	Tubulin	SIGNOR-PF46	0.1
Svip	Q3UZP4	L3mbtl1	A2A5N8	0.1
Kdm2b	Q6P1G2	CDK1	P11440	0.2
Kdm2b	Q6P1G2	PPARG	P37238	0.1
Kdm2b	Q6P1G2	UHRF1	Q8VDF2	0.17
Kdm2b	Q6P1G2	Rnf2	Q9CQJ4	0.557
Kdm2b	Q6P1G2	Noncanonical PRC1	SIGNOR-C151	0.637
Terb2	Q9D494	Cohesin complex	SIGNOR-C304	0.1
Nedd1	P33215	g-TuRC complex	SIGNOR-C282	0.713
MAFA	Q8CF90	SLC2A2	P14246	0.243
MAFA	Q8CF90	Pc	Q05920	0.142
MAFA	Q8CF90	Pcsk1	P63239	0.172
MAFA	Q8CF90	GLP1R	O35659	0.211
MAFA	Q8CF90	PDX1	P52946	0.679
MAFA	Q8CF90	Nkx6-1	Q99MA9	0.291
RFWD2	Q9R1A8	CEBPB	P28033	0.1
Cdc26	Q99JP4	APC-c	SIGNOR-C150	0.864
IL31RA	Q8K5B1	JAK2	Q62120	0.25
IL31RA	Q8K5B1	JAK1	P52332	0.392
Ctcfl	A2APF3	Bag1	Q60739	0.167
SNIP1	Q8BIZ6	SMAD4	P97471	0.527
SNIP1	Q8BIZ6	CBP/p300	SIGNOR-C6	0.559
Gadd45gip1	Q9CR59	39S mitochondrial large ribosomal subunit	SIGNOR-C285	0.664
Wdr48	Q8BH57	Usp1	Q8BJQ2	0.938
Lhfpl5	Q4KL25	Hair cells mechanotransduction channel	SIGNOR-C290	0.278
GABPB2	P81069	HCFC1	Q61191	0.1
OLIG1	Q9JKN5	OLIG2	Q9EQW6	0.192
Ttc8	Q8VD72	BBsome complex	SIGNOR-C288	0.706
Lmo3	Q8BZL8	ASCL1	Q02067	0.268
Lmo3	Q8BZL8	HES1	P35428	0.292
Cep76	Q0VEJ0	PLK1	Q07832	0.339
SMARCC2	Q6PDG5	SWI/SNF complex	SIGNOR-C92	0.867
Sun3	Q5SS91	LINC complex	SIGNOR-C303	0.315
UHMK1	P97343	MBP	P04370	0.1
UHMK1	P97343	MBP	P04370	0.1
UHMK1	P97343	STMN1	P54227	0.427
UHMK1	P97343	SYN1	O88935	0.274
UHMK1	P97343	PAM	P97467	0.382
UHMK1	P97343	CDKN1B	P46414	0.239
UHMK1	P97343	CDKN1B	P46414	0.239
UHMK1	P97343	SF1	Q64213	0.293
UHMK1	P97343	SF1	Q64213	0.293
UHMK1	P97343	SF1	Q64213	0.293
UHMK1	P97343	SF1	Q64213	0.293
UHMK1	P97343	FAM64A	Q8BFY7	0.1
NCSTN	P57716	PSEN1	P49769	0.964
Nploc4	P60670	Ufd1l	P70362	0.1
DEPTOR	Q570Y9	MTOR	Q9JLN9	0.67
DEPTOR	Q570Y9	mTORC2	SIGNOR-C2	0.615
DEPTOR	Q570Y9	mTORC2	SIGNOR-C2	0.615
DEPTOR	Q570Y9	mTORC1	SIGNOR-C3	0.631
DEPTOR	Q570Y9	mTORC1	SIGNOR-C3	0.631
LNX1	O70263	NUMB	Q9QZS3	0.69
UBA3	Q8C878	NAE	SIGNOR-C131	0.952
Plppr1	Q8BFZ2	RASGEF1B	Q8JZL7	0.1
Plppr1	Q8BFZ2	RASGEF1A	E9Q1N6	0.1
Sun5	Q9DA32	LINC complex	SIGNOR-C303	0.218
Mrpl30	Q9D7N6	39S mitochondrial large ribosomal subunit	SIGNOR-C285	0.692
Prex1	Q69ZK0	RAC1	P63001	0.68
Mrap	Q9D159	MC4R	P56450	0.403
Mrap	Q9D159	MC5R	P41149	0.326
Mrap	Q9D159	MC3R	P33033	0.39
Mrap	Q9D159	Mc2r	Q64326	0.675
Mrap	Q9D159	Mc1r	Q01727	0.287
MAPK15	Q80Y86	JUN	P05627	0.31
MAPK15	Q80Y86	JUN	P05627	0.31
MAPK15	Q80Y86	MAPK15	Q80Y86	0.1
MAPK15	Q80Y86	MAPK15	Q80Y86	0.1
Mipol1	Q9D9F8	RHOB	P62746	0.1
Mipol1	Q9D9F8	RELA	Q04207	0.1
NEK9	Q8K1R7	Nedd1	P33215	0.288
NEK9	Q8K1R7	NEK9	Q8K1R7	0.1
TLR7	P58681	IFNA13	Q80SU4	0.269
TLR7	P58681	IFNA15	Q61718	0.269
NEK9	Q8K1R7	NEK9	Q8K1R7	0.1
NEK9	Q8K1R7	NEK7	Q9ES74	0.75
NEK9	Q8K1R7	NEK6	Q9ES70	0.707
Dscaml1	Q4VA61	STAT3	P42227	0.1
BRSK1	Q5RJI5	Cast	P51125	0.1
BRSK1	Q5RJI5	TUBG1	P83887	0.141
BRSK1	Q5RJI5	WEE1	P47810	0.399
BRSK1	Q5RJI5	CDC25B	P30306	0.456
BRSK1	Q5RJI5	CDC25B	P30306	0.456
BRSK1	Q5RJI5	CDC25C	P48967	0.436
BRSK1	Q5RJI5	CDC25C	P48967	0.436
SP7	Q8VI67	Ifitm5	O88728	0.237
SP7	Q8VI67	BGLAP3	P54615	0.342
SP7	Q8VI67	BGLAP	P86546	0.342
SP7	Q8VI67	BGLAP2	P86547	0.342
Tmc2	Q8R4P4	Hair cells mechanotransduction channel	SIGNOR-C290	0.261
Tmc1	Q8R4P5	Hair cells mechanotransduction channel	SIGNOR-C290	0.259
Dmxl2	Q8BPN8	Rab3gap1	Q80UJ7	0.452
Dmxl2	Q8BPN8	Madd	Q80U28	0.306
NEK7	Q9ES74	Kif14	E9Q3T3	0.243
GPR119	Q7TQP3	Gna14	P30677	0.174
GPR119	Q7TQP3	GNAI3	Q9DC51	0.174
